,Donor_Id,P_year,Frequency
0,b'0001263',16,1.0
0,b'0001279',27,7.0
0,b'0001292',1,1.0
0,b'0001295',157,10.0
0,b'0001304',195,13.0
0,b'0001307',1,1.0
0,b'0001308',2,2.0
0,b'0001318',60,4.0
0,b'0001324',38,8.0
0,b'0001329',171,11.0
0,b'0001335',1,1.0
0,b'0001347',18,1.0
0,b'0001348',1,1.0
0,b'0001349',156,10.0
0,b'0001357',173,12.0
0,b'0001361',1,1.0
0,b'0001365',20,1.0
0,b'0001371',162,11.0
0,b'0001374',158,11.0
0,b'0001375',52,6.0
0,b'0001376',1,1.0
0,b'0001379',2,2.0
0,b'0001385',13,2.0
0,b'0001386',43,3.0
0,b'0001394',106,11.0
0,b'0001398',156,10.0
0,b'0001400',560,37.0
0,b'0001402',25,2.0
0,b'0001403',169,11.0
0,b'0001409',1,1.0
0,b'0001412',1,1.0
0,b'0001416',2,2.0
0,b'0001417',3,3.0
0,b'0001419',1,1.0
0,b'0001421',1,1.0
0,b'0001425',157,10.0
0,b'0001428',24,2.0
0,b'0001431',1,1.0
0,b'0001439',59,4.0
0,b'0001452',160,11.0
0,b'0001455',310,21.0
0,b'0001457',156,10.0
0,b'0001458',1,1.0
0,b'0001460',156,10.0
0,b'0001463',2,2.0
0,b'0001464',158,11.0
0,b'0001465',166,17.0
0,b'0001471',1,1.0
0,b'0001481',155,10.0
0,b'0001488',1,1.0
0,b'0001494',157,10.0
0,b'0001505',94,10.0
0,b'0001506',85,9.0
0,b'0001510',34,2.0
0,b'0001513',156,10.0
0,b'0001519',159,11.0
0,b'0001522',125,10.0
0,b'0001527',1,1.0
0,b'0001528',52,9.0
0,b'0001530',9,2.0
0,b'0001531',1,1.0
0,b'0001532',20,1.0
0,b'0001534',1,1.0
0,b'0001541',29,3.0
0,b'0001544',156,10.0
0,b'0001548',152,10.0
0,b'0001554',23,2.0
0,b'0001558',154,10.0
0,b'0001559',21,2.0
0,b'0001561',173,12.0
0,b'0001565',157,10.0
0,b'0001569',22,2.0
0,b'0001571',402,27.0
0,b'0001575',74,6.0
0,b'0001580',1,1.0
0,b'0001581',158,11.0
0,b'0001583',376,25.0
0,b'0001584',17,2.0
0,b'0001588',1,1.0
0,b'0001592',26,2.0
0,b'0001596',1,1.0
0,b'0001608',142,10.0
0,b'0001614',158,11.0
0,b'0001617',17,6.0
0,b'0001618',112,8.0
0,b'0001619',66,5.0
0,b'0001622',159,11.0
0,b'0001630',1,1.0
0,b'0001633',37,3.0
0,b'0001635',145,10.0
0,b'0001647',20,2.0
0,b'0001651',1,1.0
0,b'0001654',90,10.0
0,b'0001655',56,4.0
0,b'0001665',155,10.0
0,b'0001668',154,10.0
0,b'0001679',6,6.0
0,b'0001680',314,21.0
0,b'0001683',41,3.0
0,b'0001686',32,2.0
0,b'0001694',57,4.0
0,b'0001698',155,10.0
0,b'0001699',53,4.0
0,b'0001706',1,1.0
0,b'0001711',156,10.0
0,b'0001712',1,1.0
0,b'0001715',156,10.0
0,b'0001717',469,31.0
0,b'0001725',23,4.0
0,b'0001731',1,1.0
0,b'0001734',1,1.0
0,b'0001735',1,1.0
0,b'0001738',71,18.0
0,b'0001740',74,8.0
0,b'0001750',3,3.0
0,b'0001756',27,3.0
0,b'0001757',157,11.0
0,b'0001761',158,11.0
0,b'0001764',2,2.0
